,Play,Teams,Expert,Odds,Units,Payout,Net Units Record,name,opponent,hmcrt_adv,Profit,All Game Percentages,All Game Correct,Last 5 Percentages,Last 5 Correct,Last 10 Percentages,Last 10 Correct
1,A.Nesmith u18.5 Pts+Rebs+Ast,Indiana Pacers,PropBetGuy,-118,1.18,2.1799999999999997,14.7865,A.Nesmith,Milwaukee Bucks,1,0.9999999999999998,0.7014925373134329,1,1.0,1,0.6,1
7,J.Williams o23.5 Pts+Ast,Oklahoma City Thunder,SBK5065,-120,1.2,2.2,19.1421,J.Williams,Detroit Pistons,1,1.0000000000000002,0.13157894736842105,0,0.4,0,0.2,0
8,J.Williams o23.5 Pts+Ast,Oklahoma City Thunder,PropBetGuy,-125,1.25,2.25,14.7865,J.Williams,Detroit Pistons,1,1.0,0.13157894736842105,0,0.4,0,0.2,0
9,J.Williams o23.5 Pts+Ast,Oklahoma City Thunder,JoeDellera,-125,1.0,1.8,11.0415,J.Williams,Detroit Pistons,1,0.8,0.13157894736842105,0,0.4,0,0.2,0
10,J.Williams o23.5 Pts+Ast,Oklahoma City Thunder,PropBomb,-125,1.25,2.25,10.4331,J.Williams,Detroit Pistons,1,1.0,0.13157894736842105,0,0.4,0,0.2,0
12,K.Olynyk o11.5 Rebs+Ast,Utah Jazz,SBK5065,-130,0.5,0.8846153846153846,19.1421,K.Olynyk,San Antonio Spurs,0,0.3846153846153846,0.2857142857142857,0,0.8,1,0.7,1
14,K.Olynyk o11.5 Rebs+Ast,Utah Jazz,PropBomb,-130,1.3,2.3,10.4331,K.Olynyk,San Antonio Spurs,0,0.9999999999999998,0.2857142857142857,0,0.8,1,0.7,1
15,Z.LaVine o30.5 Pts+Ast,Chicago Bulls,PropBetGuy,-120,1.2,2.2,14.7865,Z.LaVine,Los Angeles Lakers,1,1.0000000000000002,0.43661971830985913,0,0.6,1,0.7,1
16,Z.LaVine o30.5 Pts+Ast,Chicago Bulls,JoeDellera,-120,0.55,1.0083333333333335,0,Z.LaVine,Los Angeles Lakers,1,0.4583333333333335,0.43661971830985913,0,0.6,1,0.7,1
17,D.Booker o37.5 Pts+Rebs+Ast,Phoenix Suns,SBK5065,-120,0.6,1.1,19.1421,D.Booker,Minnesota Timberwolves,1,0.5000000000000001,0.5208333333333334,1,0.6,1,0.5,0
18,R.Gobert o10.5 Rebs,Minnesota Timberwolves,SBK5065,-130,1.0,1.7692307692307692,0,R.Gobert,Phoenix Suns,0,0.7692307692307692,0.578125,1,0.8,1,0.6,1
19,K.Durant u23.5 Pts,Phoenix Suns,JoeDellera,-100,0.75,1.5,11.0415,K.Durant,Minnesota Timberwolves,1,0.75,0.6666666666666666,1,0.6666666666666666,1,0.6666666666666666,1
20,R.Gobert o10.5 Rebs,Minnesota Timberwolves,JoeDellera,-130,1.0,1.7692307692307692,0,R.Gobert,Phoenix Suns,0,0.7692307692307692,0.578125,1,0.8,1,0.6,1
21,K.Towns o17.5 Pts,Minnesota Timberwolves,PropBomb,-123,1.23,2.23,10.4331,K.Towns,Phoenix Suns,0,1.0,0.6956521739130435,1,0.6,1,0.7,1
